indexLine	algoIter	time	best obj	current obj	T	probdelta1	nb uses 1	nb uses 2	nb uses 3	nb uses 4	nb uses 5	nb uses 6	nb uses 7	nb uses 8	nb uses 9	score 1	score 2	score 3	score 4	score 5	score 6	score 7	score 8	score 9	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	duration 8	duration 9	avgDuration 1	avgDuration 2	avgDuration 3	avgDuration 4	avgDuration 5	avgDuration 6	avgDuration 7	avgDuration 8	avgDuration 9	sigmas1 1	sigmas1 2	sigmas1 3	sigmas1 4	sigmas1 5	sigmas1 6	sigmas1 7	sigmas1 8	sigmas1 9	sigmas2 1	sigmas2 2	sigmas2 3	sigmas2 4	sigmas2 5	sigmas2 6	sigmas2 7	sigmas2 8	sigmas2 9	sigmas3 1	sigmas3 2	sigmas3 3	sigmas3 4	sigmas3 5	sigmas3 6	sigmas3 7	sigmas3 8	sigmas3 9	sigmas4 1	sigmas4 2	sigmas4 3	sigmas4 4	sigmas4 5	sigmas4 6	sigmas4 7	sigmas4 8	sigmas4 9	sigmas5 1	sigmas5 2	sigmas5 3	sigmas5 4	sigmas5 5	sigmas5 6	sigmas5 7	sigmas5 8	sigmas5 9	sigmas6 1	sigmas6 2	sigmas6 3	sigmas6 4	sigmas6 5	sigmas6 6	sigmas6 7	sigmas6 8	sigmas6 9	weight 1	weight 2	weight 3	weight 4	weight 5	weight 6	weight 7	weight 8	weight 9	proba 1	proba 2	proba 3	proba 4	proba 5	proba 6	proba 7	proba 8	proba 9	
1	2	59.022862622	2912.45	2912.45	100.0	0.99005	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	4	76.797558969	2713.9	2713.9	100.0	0.99005	0	0	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000465	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62145e6	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	3240	77.79771494	2703.3599999999997	3306.8099999999995	86.1052	0.988453	3236	0	0	0	0	0	0	0	0	0.000841	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.998882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000309	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	2107	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	8828.45	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	7827	78.797780912	2703.3599999999997	3590.0099999999998	85.9398	0.988431	7823	0	0	0	0	0	0	0	0	0.000882	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.99721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000255	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1059	0	0	0	0	0	0	0	0	5179	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	13533.0	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	12463	79.797893449	2703.3599999999997	3501.11	85.7747	0.988409	12459	0	0	0	0	0	0	0	0	0.000634	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.99554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	1642	0	0	0	0	0	0	0	0	8168	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	1915	0	0	0	0	0	0	0	0	10963.2	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6	17083	80.797997329	2703.3599999999997	3616.81	85.6099	0.988387	17079	0	0	0	0	0	0	0	0	0.000673	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.99387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000234	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2276	0	0	0	0	0	0	0	0	11211	0	0	0	0	0	0	0	0	579	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	2644	0	0	0	0	0	0	0	0	12314.6	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
7	21737	81.798106565	2703.3599999999997	3364.46	85.4454	0.988365	21733	0	0	0	0	0	0	0	0	0.000904	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.99221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	2966	0	0	0	0	0	0	0	0	14250	0	0	0	0	0	0	0	0	715	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	3359	0	0	0	0	0	0	0	0	17134.8	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
8	26382	82.798283771	2703.3599999999997	3405.959999999999	85.2812	0.988343	26378	0	0	0	0	0	0	0	0	0.000869	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.99062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000227	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	3667	0	0	0	0	0	0	0	0	17299	0	0	0	0	0	0	0	0	856	0	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	4011	0	0	0	0	0	0	0	0	16854.8	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	31052	83.798447203	2703.3599999999997	3426.16	85.1173	0.98832	31048	0	0	0	0	0	0	0	0	0.001037	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.98897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000225	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	4390	0	0	0	0	0	0	0	0	20256	0	0	0	0	0	0	0	0	1022	0	0	0	0	0	0	0	0	597	0	0	0	0	0	0	0	0	4780	0	0	0	0	0	0	0	0	20463.9	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
10	35688	84.798636759	2703.3599999999997	3320.5599999999995	84.9538	0.988298	35684	0	0	0	0	0	0	0	0	0.000659	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.98738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000224	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	5064	0	0	0	0	0	0	0	0	23307	0	0	0	0	0	0	0	0	1157	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	5493	0	0	0	0	0	0	0	0	13154.6	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
11	40332	85.798771262	2703.3599999999997	3238.2099999999996	84.7906	0.988276	40328	0	0	0	0	0	0	0	0	0.000547	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	8.98575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000223	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	5781	0	0	0	0	0	0	0	0	26351	0	0	0	0	0	0	0	0	1323	0	0	0	0	0	0	0	0	712	0	0	0	0	0	0	0	0	6158	0	0	0	0	0	0	0	0	11010.6	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
12	44955	86.798828309	2703.3599999999997	3583.0099999999998	84.6277	0.988253	44951	0	0	0	0	0	0	0	0	0.000793	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.98403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000222	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	6479	0	0	0	0	0	0	0	0	29419	0	0	0	0	0	0	0	0	1512	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	6778	0	0	0	0	0	0	0	0	16074.1	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
13	49603	87.79906179	2703.3599999999997	3741.1599999999994	84.465	0.988231	49599	0	0	0	0	0	0	0	0	0.001028	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.9825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	7112	0	0	0	0	0	0	0	0	32413	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	846	0	0	0	0	0	0	0	0	7555	0	0	0	0	0	0	0	0	20961.2	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
14	54198	88.799132119	2703.3599999999997	3401.2099999999996	84.3028	0.988208	54194	0	0	0	0	0	0	0	0	0.000769	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.9807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	7805	0	0	0	0	0	0	0	0	35463	0	0	0	0	0	0	0	0	1828	0	0	0	0	0	0	0	0	938	0	0	0	0	0	0	0	0	8157	0	0	0	0	0	0	0	0	15726.0	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
15	58778	89.79918114	2703.3599999999997	3579.7600000000007	84.1408	0.988186	58774	0	0	0	0	0	0	0	0	0.000848	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	8465	0	0	0	0	0	0	0	0	38562	0	0	0	0	0	0	0	0	1997	0	0	0	0	0	0	0	0	1036	0	0	0	0	0	0	0	0	8711	0	0	0	0	0	0	0	0	17381.3	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
16	63321	90.799313853	2703.3599999999997	3243.86	83.9791	0.988163	63317	0	0	0	0	0	0	0	0	0.000816	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.9774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	9174	0	0	0	0	0	0	0	0	41749	0	0	0	0	0	0	0	0	2160	0	0	0	0	0	0	0	0	1092	0	0	0	0	0	0	0	0	9139	0	0	0	0	0	0	0	0	16740.3	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
17	67966	91.79943594	2703.3599999999997	3516.76	83.8178	0.98814	67962	0	0	0	0	0	0	0	0	0.000733	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	14.9758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	9816	0	0	0	0	0	0	0	0	44889	0	0	0	0	0	0	0	0	2294	0	0	0	0	0	0	0	0	1181	0	0	0	0	0	0	0	0	9779	0	0	0	0	0	0	0	0	15096.4	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
18	72584	92.799610332	2703.3599999999997	3378.51	83.6567	0.988118	72580	0	0	0	0	0	0	0	0	0.000582	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	15.9742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	10393	0	0	0	0	0	0	0	0	47941	0	0	0	0	0	0	0	0	2445	0	0	0	0	0	0	0	0	1297	0	0	0	0	0	0	0	0	10501	0	0	0	0	0	0	0	0	12013.2	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
19	77224	93.799636904	2703.3599999999997	3475.21	83.496	0.988095	77220	0	0	0	0	0	0	0	0	0.000178	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	16.9724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	10943	0	0	0	0	0	0	0	0	51034	0	0	0	0	0	0	0	0	2624	0	0	0	0	0	0	0	0	1381	0	0	0	0	0	0	0	0	11235	0	0	0	0	0	0	0	0	3687.0	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	0.999999	0.0	0.0	0.0	1.0e-6	0.0	0.0	0.0	0.0	
20	81888	94.799688591	2703.3599999999997	3715.6600000000003	83.3356	0.988072	81884	0	0	0	0	0	0	0	0	0.000702	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	17.9707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	11533	0	0	0	0	0	0	0	0	54121	0	0	0	0	0	0	0	0	2786	0	0	0	0	0	0	0	0	1442	0	0	0	0	0	0	0	0	11999	0	0	0	0	0	0	0	0	14564.7	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
21	86520	95.799827936	2703.3599999999997	3732.36	83.1755	0.988049	86516	0	0	0	0	0	0	0	0	0.000921	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	18.9691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	12108	0	0	0	0	0	0	0	0	57207	0	0	0	0	0	0	0	0	2920	0	0	0	0	0	0	0	0	1554	0	0	0	0	0	0	0	0	12724	0	0	0	0	0	0	0	0	19167.0	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
22	91186	96.799880236	2703.3599999999997	3316.96	83.0157	0.988026	91182	0	0	0	0	0	0	0	0	0.000337	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	19.9673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	12686	0	0	0	0	0	0	0	0	60322	0	0	0	0	0	0	0	0	3070	0	0	0	0	0	0	0	0	1647	0	0	0	0	0	0	0	0	13454	0	0	0	0	0	0	0	0	7021.95	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
23	95799	97.799898319	2703.3599999999997	3454.6099999999997	82.8562	0.988003	95795	0	0	0	0	0	0	0	0	0.000997	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	20.9656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	13233	0	0	0	0	0	0	0	0	63352	0	0	0	0	0	0	0	0	3267	0	0	0	0	0	0	0	0	1762	0	0	0	0	0	0	0	0	14178	0	0	0	0	0	0	0	0	20809.8	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
24	100432	98.800092195	2703.3599999999997	3675.759999999999	82.697	0.98798	100428	0	0	0	0	0	0	0	0	0.000873	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	21.964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	13843	0	0	0	0	0	0	0	0	66454	0	0	0	0	0	0	0	0	3419	0	0	0	0	0	0	0	0	1833	0	0	0	0	0	0	0	0	14876	0	0	0	0	0	0	0	0	18250.5	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
25	105101	99.800150429	2703.3599999999997	3741.259999999999	82.5381	0.987957	105097	0	0	0	0	0	0	0	0	0.001108	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	22.9623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	14460	0	0	0	0	0	0	0	0	69559	0	0	0	0	0	0	0	0	3546	0	0	0	0	0	0	0	0	1918	0	0	0	0	0	0	0	0	15611	0	0	0	0	0	0	0	0	23200.9	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
26	109740	100.800385029	2703.3599999999997	3550.0599999999995	82.3795	0.987934	109736	0	0	0	0	0	0	0	0	0.000829	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	23.9608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	15053	0	0	0	0	0	0	0	0	72716	0	0	0	0	0	0	0	0	3720	0	0	0	0	0	0	0	0	1994	0	0	0	0	0	0	0	0	16250	0	0	0	0	0	0	0	0	17386.6	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
27	114385	101.80040216	2703.3599999999997	3904.859999999999	82.2213	0.987911	114381	0	0	0	0	0	0	0	0	0.000879	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	24.9591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	15605	0	0	0	0	0	0	0	0	75773	0	0	0	0	0	0	0	0	3893	0	0	0	0	0	0	0	0	2113	0	0	0	0	0	0	0	0	16994	0	0	0	0	0	0	0	0	18469.4	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
28	119043	102.800497706	2703.3599999999997	3730.6600000000008	82.0633	0.987888	119039	0	0	0	0	0	0	0	0	0.000485	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	25.9573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	16184	0	0	0	0	0	0	0	0	78856	0	0	0	0	0	0	0	0	4055	0	0	0	0	0	0	0	0	2181	0	0	0	0	0	0	0	0	17760	0	0	0	0	0	0	0	0	10197.5	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
29	123659	103.802172412	2703.3599999999997	3624.310000000001	81.9061	0.987865	123655	0	0	0	0	0	0	0	0	0.000805	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	26.9573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	16787	0	0	0	0	0	0	0	0	81980	0	0	0	0	0	0	0	0	4206	0	0	0	0	0	0	0	0	2276	0	0	0	0	0	0	0	0	18403	0	0	0	0	0	0	0	0	16938.5	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
30	128244	104.802361381	2703.3599999999997	3898.3100000000004	81.748	0.987842	128240	0	0	0	0	0	0	0	0	0.00068	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	27.9557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	17387	0	0	0	0	0	0	0	0	85178	0	0	0	0	0	0	0	0	4358	0	0	0	0	0	0	0	0	2363	0	0	0	0	0	0	0	0	18951	0	0	0	0	0	0	0	0	14309.4	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
31	132775	105.802439018	2703.3599999999997	3259.6600000000008	81.5909	0.987819	132771	0	0	0	0	0	0	0	0	0.00078	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	28.9541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	18048	0	0	0	0	0	0	0	0	88240	0	0	0	0	0	0	0	0	4507	0	0	0	0	0	0	0	0	2467	0	0	0	0	0	0	0	0	19506	0	0	0	0	0	0	0	0	16400.1	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
32	137237	106.802484546	2703.3599999999997	3677.9600000000005	81.4342	0.987795	137233	0	0	0	0	0	0	0	0	0.00031	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	29.9523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	18700	0	0	0	0	0	0	0	0	91350	0	0	0	0	0	0	0	0	4664	0	0	0	0	0	0	0	0	2539	0	0	0	0	0	0	0	0	19977	0	0	0	0	0	0	0	0	6515.98	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
33	141658	107.80249793	2703.3599999999997	3271.2100000000005	81.2777	0.987772	141654	0	0	0	0	0	0	0	0	0.000817	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	30.9505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000218	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	19310	0	0	0	0	0	0	0	0	94371	0	0	0	0	0	0	0	0	4825	0	0	0	0	0	0	0	0	2658	0	0	0	0	0	0	0	0	20487	0	0	0	0	0	0	0	0	17116.8	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
34	146086	108.802596303	2703.3599999999997	3252.1600000000003	81.1216	0.987748	146082	0	0	0	0	0	0	0	0	0.001107	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	31.9489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	19986	0	0	0	0	0	0	0	0	97444	0	0	0	0	0	0	0	0	5030	0	0	0	0	0	0	0	0	2736	0	0	0	0	0	0	0	0	20883	0	0	0	0	0	0	0	0	23148.5	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
35	150597	109.802737812	2703.3599999999997	3356.610000000001	80.9657	0.987725	150593	0	0	0	0	0	0	0	0	0.000688	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	32.9472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	20667	0	0	0	0	0	0	0	0	100464	0	0	0	0	0	0	0	0	5194	0	0	0	0	0	0	0	0	2813	0	0	0	0	0	0	0	0	21452	0	0	0	0	0	0	0	0	14379.8	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
36	155119	110.802747684	2703.3599999999997	3573.3600000000006	80.8102	0.987702	155115	0	0	0	0	0	0	0	0	0.000706	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	33.9454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	21293	0	0	0	0	0	0	0	0	103473	0	0	0	0	0	0	0	0	5358	0	0	0	0	0	0	0	0	2894	0	0	0	0	0	0	0	0	22094	0	0	0	0	0	0	0	0	14747.0	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
37	159620	111.802862729	2703.3599999999997	3330.21	80.6549	0.987678	159616	0	0	0	0	0	0	0	0	0.000685	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	34.9437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000219	0.0	0.0	0.0	17.7742	0.0	0.0	0.0	0.0	3	0	0	0	0	0	0	0	0	21891	0	0	0	0	0	0	0	0	106474	0	0	0	0	0	0	0	0	5507	0	0	0	0	0	0	0	0	3003	0	0	0	0	0	0	0	0	22738	0	0	0	0	0	0	0	0	14296.5	0.0	0.0	0.0	0.003165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
